Treatment,CombinedAverageArea
,
,
Ctrl,2354.148148
,
,
,
Y,3016.148148
,
,
,
Y WO,2629.296296
,
,
,
Ctrl,2470.074074
,
,
,
Y,2799.25463
,
,
,
Y WO,2724.333333
,
,
,
Ctrl,2284.125
,
,
,
Y,3048.703704
,
,
,
Blebb,4168.925926
,
,
,
Ctrl,2383.185185
,
,
,
Blebb,4040.282407
,
,
,
WO Blebb,2183.296296
,
,
Ctrl,2729.357143
,
,
Blebb,4291.222222
,
,
WO Blebb,2867.25
,
,
,
Ctrl,2492.703704
,
,
,
Blebb,3823.296296
,
,
,
WO Blebb,2375.810185
